1313323035	98285908	284
63966007	47508984	66014
141945490	861853513	24804
1313323035	62916508	758
111979921	193775966	264
17974374	223822909	34904
97018004	205783295	4652
201448701	165143802	458
84218800	20089843	55355
887064364	154425047	127234
16391192	138006243	67514
67311998	170201317	454472
141945490	87216513	41733
98285908	154425047	18187
17974374	86519309	1844
201448701	129604602	33086
111979921	40347166	3129
33213144	219193219	87093
36258959	16733864	40524
66946132	36258959	39417
19880235	133731052	6178
879563668	887968799	44085
91045830	201537933	101
84218800	138006243	1272
1330342723	133731052	1687
130828816	5023651	2202
130701444	181391015	245
111979921	19820366	505
16391192	20089843	2191
185261750	140287389	43640
99065089	185261750	4573
187531555	97018004	34123
60134161	95457486	318
59361560	130442723	214
138006243	133731052	67
47508984	1313323035	88
62916508	154425047	154
27837315	76130692	307
165932596	180670191	818
139264467	887064364	93
8961855	30147112	85
181391015	47508984	415
59361560	1330342723	11
114027177	9360294	15
130442723	76130692	28
1294671590	17974374	45103
1313323035	223822909	279
114027177	205783295	585
138006243	45129253	101157
9360294	52357470	99260
1294671590	74801974	359100
183067930	78577930	15394
241749	19880235	47916
19880235	45129253	66394
185261750	1294671590	288023
79576946	22299242	16708
40120149	19880235	93170
170201317	27837315	79458
1330342723	45129253	2101
139264467	161318765	6075
205783295	157725225	6060
8961855	87216513	404
241749	1313323035	1156
223822909	28166907	868
32597200	145311948	23152
66946132	59361560	30224
879563668	32597200	13263
84218800	130701444	376
91045830	205349734	92
879563668	84218800	16558
170201317	130769515	1903
1313323035	86519309	193
1341412227	201448701	1338
8961855	861853513	744
97018004	124055696	9014
97018004	99464096	624
140287389	5023651	24366
130701444	130828816	36
130828816	133731052	594
161318765	1313323035	88
8204097	36258959	472
16391192	130701444	404
30147112	97018004	104
135598925	219193219	13
165143802	20231570	532
130769515	140287389	41
157674565	1313323035	149
99464096	76130692	34
129604602	20231570	506
193775966	67311998	20114
124055696	76130692	11
28166907	140287389	9
165932596	16391192	35
139264467	157674565	7
52357470	36258959	31883
40347166	63966007	12159
139264467	193775966	5994
27837315	9360294	174854
201448701	97018004	59661
1330342723	185261750	1554
141945490	130769515	484
22299242	165779595	13674
78577930	19880235	52042
141945490	881766915	3561
